Altium Designer Pick and Place Locations
C:\Users\ZdunekPC\Documents\Spektrop2\Spektrop2_Combined_Proc_CMV4000_V1\ProjectOutputsDefault\Pick Place\Pick Place for Spektrop2_PCB_Combined_CMV4000_V1(Default).txt

========================================================================================================================
File Design Information:

Date:       25-01-18
Time:       02:32
Revision:   Not in VersionControl
Variant:    Default
Units used: mil

Designator Comment             Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                 
C171       100nF               TopLayer    CAPC1005X55N                   1384.842      1069.882      180      "Non-polarised capacitor"                                                                                   
R17        13k3                TopLayer    RESC1608X55N                   1363.189      75.787        90       "Resistor - 0.1%"                                                                                           
J13        PicoBlade           TopLayer    MOLEX_53047-0510               1000.000      1603.347      180      "Connector 5 Male"                                                                                          
C165       4.7uF               TopLayer    CAPC1005X55N                   220.472       593.504       270      "Non-polarised capacitor"                                                                                   
J11        Milli-Grid™         TopLayer    MOLEX_87831-1420_h             68.897        427.165       90       "Connector 14 Male"                                                                                         
R91        0                   BottomLayer RESC1005X40N                   1416.339      182.087       360      Resistor                                                                                                    
IC13       LP38693SDX-5.0/NOPB BottomLayer SON95P300X300X80-7N-R170X220   1335.630      71.850        360      "1A Low Dropout CMOS Linear Regulators Stable with Ceramic Output Capacitors"                               
C170       1uF                 BottomLayer CAPC1005X55N                   1339.567      182.087       360      "Non-polarised capacitor"                                                                                   
C169       10uF                BottomLayer CAPC1005X70N                   1376.968      240.157       270      "Non-polarised capacitor"                                                                                   
C168       1uF                 BottomLayer CAPC1005X55N                   1232.284      40.354        90       "Non-polarised capacitor"                                                                                   
C166       100nF               BottomLayer CAPC1005X55N                   1163.976      24.255        180      "Non-polarised capacitor"                                                                                   
OSC2       33.33333MHz         TopLayer    OSC_SI-TIME_3.2X2.5X0.75mm     1362.203      511.811       180      "Oscillator 4 pins 1=OE 2=GND 3=OUT 4=VDD"                                                                  
L7         120R@100MHz         TopLayer    INDC1608X65N                   1271.653      369.094       0        Inductor                                                                                                    
C152       47uF                BottomLayer CAPC2012X140N                  1157.480      875.984       360      "Non-polarised capacitor"                                                                                   
L2         120R@100MHz         TopLayer    INDC1608X65N                   1087.598      1403.543      180      Inductor                                                                                                    
T5         BSH103              BottomLayer SOT95P230X110-3N               74.803        1421.260      180      "N-CHANNEL MOSFET WITH DIODE"                                                                               
R69        1k                  TopLayer    RESC1005X40N                   112.205       1349.409      180      "Resistor - 1%"                                                                                             
R70        1k                  TopLayer    RESC1005X40N                   40.553        1349.409      360      "Resistor - 1%"                                                                                             
LD7        Green               TopLayer    LED_KINGBRIGHT_KPH-1608CGCK    46.678        1429.978      270      "LED Green 1C 2A"                                                                                           
LD6        Green               TopLayer    LED_KINGBRIGHT_KPH-1608CGCK    101.796       1429.978      270      "LED Green 1C 2A"                                                                                           
R35        22                  TopLayer    RESC1005X40N                   644.121       1360.029      90       "Resistor - 1%"                                                                                             
R34        75                  TopLayer    RESC1005X40N                   500.460       1612.210      90       "Resistor - 1%"                                                                                             
