#Top: ios   Floorplan: io_1   Part: xc7z015clg485-3,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: ZdunekPC   on: Mon Jan 22 00:57:57 2018,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2017.4   by: xbuild   on: Fri Dec 15 20:55:39 MST 2017,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2013-10-23,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-10-23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
################################################################################,,,,,,,,,,,,,,,,,,,,,,,,,
#INVALID / INCOMPLETE PINOUT,,,,,,,,,,,,,,,,,,,,,,,,,
#There are 38 unassigned signals in this design. The last 38 rows of this file list these signals.,,,,,,,,,,,,,,,,,,,,,,,,,
################################################################################,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
13,T16,IOB_X0Y49,IO_0_13,108.106,109.192,,,FPGA_BANK13_IO[0],IN,,,LVCMOS33,,,,,,,,,,,,,
13,V13,IOB_X0Y48,IO_L1P_T0_13,177.519,179.303,,,FPGA_BANK13_IO[1],IN,,,LVCMOS33,,,,,,,,,,,,,
13,U12,IOB_X0Y39,IO_L5N_T0_13,200.17,202.182,,,FPGA_BANK13_IO[2],IN,,,LVCMOS33,,,,,,,,,,,,,
13,V14,IOB_X0Y47,IO_L1N_T0_13,161.848,163.474,,,FPGA_BANK13_IO[3],IN,,,LVCMOS33,,,,,,,,,,,,,
13,V15,IOB_X0Y46,IO_L2P_T0_13,189.54,191.445,,,FPGA_BANK13_IO[4],IN,,,LVCMOS33,,,,,,,,,,,,,
13,W15,IOB_X0Y45,IO_L2N_T0_13,180.553,182.368,,,FPGA_BANK13_IO[5],IN,,,LVCMOS33,,,,,,,,,,,,,
13,W12,IOB_X0Y44,IO_L3P_T0_DQS_13,199.717,201.724,,,FPGA_BANK13_IO[6],IN,,,LVCMOS33,,,,,,,,,,,,,
13,W13,IOB_X0Y43,IO_L3N_T0_DQS_13,191.645,193.571,,,FPGA_BANK13_IO[7],IN,,,LVCMOS33,,,,,,,,,,,,,
13,V11,IOB_X0Y42,IO_L4P_T0_13,201.669,203.696,,,FPGA_BANK13_IO[8],IN,,,LVCMOS33,,,,,,,,,,,,,
13,W11,IOB_X0Y41,IO_L4N_T0_13,187.023,188.903,,,FPGA_BANK13_IO[9],IN,,,LVCMOS33,,,,,,,,,,,,,
13,U11,IOB_X0Y40,IO_L5P_T0_13,195.241,197.203,,,FPGA_BANK13_IO[10],IN,,,LVCMOS33,,,,,,,,,,,,,
34,L7,IOB_X1Y93,IO_L3N_T0_DQS_34,62.862,63.494,,,FPGA_BANK34_HSTL_IN_IO[0],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,L6,IOB_X1Y92,IO_L4P_T0_34,107.373,108.453,,,FPGA_BANK34_HSTL_IN_IO[1],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,N5,IOB_X1Y61,IO_L19N_T3_VREF_34,71.712,72.433,,,FPGA_BANK34_HSTL_IN_IO[2],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,R7,IOB_X1Y51,IO_L24N_T3_34,80.535,81.344,,,FPGA_BANK34_HSTL_IN_IO[3],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,R5,IOB_X1Y54,IO_L23P_T3_34,55.401,55.958,,,FPGA_BANK34_HSTL_IN_IO[4],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,M8,IOB_X1Y88,IO_L6P_T0_34,63.721,64.362,,,FPGA_BANK34_HSTL_IN_IO[5],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,N6,IOB_X1Y62,IO_L19P_T3_34,94.097,95.043,,,FPGA_BANK34_HSTL_IN_IO[6],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,J5,IOB_X1Y86,IO_L7P_T1_34,57.466,58.044,,,FPGA_BANK34_HSTL_IN_IO[7],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,K5,IOB_X1Y85,IO_L7N_T1_34,56.375,56.942,,,FPGA_BANK34_HSTL_IN_IO[8],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,J6,IOB_X1Y95,IO_L2N_T0_34,67.71,68.39,,,FPGA_BANK34_HSTL_IN_IO[9],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,J1,IOB_X1Y83,IO_L8N_T1_34,64.841,65.492,,,FPGA_BANK34_HSTL_IN_IO[10],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,J3,IOB_X1Y82,IO_L9P_T1_DQS_34,51.082,51.595,,,FPGA_BANK34_HSTL_IN_IO[11],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,K2,IOB_X1Y81,IO_L9N_T1_DQS_34,51.101,51.615,,,FPGA_BANK34_HSTL_IN_IO[12],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,L2,IOB_X1Y80,IO_L10P_T1_34,45.753,46.213,,,FPGA_BANK34_HSTL_IN_IO[13],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,L1,IOB_X1Y79,IO_L10N_T1_34,57.818,58.399,,,FPGA_BANK34_HSTL_IN_IO[14],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,K4,IOB_X1Y78,IO_L11P_T1_SRCC_34,42.298,42.723,,,FPGA_BANK34_HSTL_IN_IO[15],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,K3,IOB_X1Y77,IO_L11N_T1_SRCC_34,52.828,53.359,,,FPGA_BANK34_HSTL_IN_IO[16],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,L5,IOB_X1Y76,IO_L12P_T1_MRCC_34,46.742,47.212,,,FPGA_BANK34_HSTL_IN_IO[17],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,L4,IOB_X1Y75,IO_L12N_T1_MRCC_34,57.162,57.736,,,FPGA_BANK34_HSTL_IN_IO[18],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,T2,IOB_X1Y74,IO_L13P_T2_MRCC_34,74.588,75.338,,,FPGA_BANK34_HSTL_IN_IO[19],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,T1,IOB_X1Y73,IO_L13N_T2_MRCC_34,87.891,88.775,,,FPGA_BANK34_HSTL_IN_IO[20],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,U2,IOB_X1Y72,IO_L14P_T2_SRCC_34,113.057,114.193,,,FPGA_BANK34_HSTL_IN_IO[21],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,U1,IOB_X1Y71,IO_L14N_T2_SRCC_34,88.79,89.682,,,FPGA_BANK34_HSTL_IN_IO[22],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,M2,IOB_X1Y70,IO_L15P_T2_DQS_34,61.652,62.271,,,FPGA_BANK34_HSTL_IN_IO[23],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,M1,IOB_X1Y69,IO_L15N_T2_DQS_34,60.315,60.922,,,FPGA_BANK34_HSTL_IN_IO[24],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,N1,IOB_X1Y68,IO_L16P_T2_34,69.756,70.457,,,FPGA_BANK34_HSTL_IN_IO[25],IN,,,HSTL_I_18,,,,,,,,,,,,,
34,J8,IOB_X1Y98,IO_L1P_T0_34,71.603,72.323,,,FPGA_BANK34_HSTL_IO0[0],OUT,,,HSTL_I_18,,SLOW,,,,,,,,,FP_VTT_50,,
34,K8,IOB_X1Y97,IO_L1N_T0_34,69.473,70.171,,,FPGA_BANK34_HSTL_IO0[1],OUT,,,HSTL_I_18,,SLOW,,,,,,,,,FP_VTT_50,,
34,J7,IOB_X1Y96,IO_L2P_T0_34,91.964,92.889,,,FPGA_BANK34_HSTL_IO0[2],OUT,,,HSTL_I_18,,SLOW,,,,,,,,,FP_VTT_50,,
34,J2,IOB_X1Y84,IO_L8P_T1_34,55.802,56.363,,,FPGA_BANK34_HSTL_IO0[3],OUT,,,HSTL_I_18,,SLOW,,,,,,,,,FP_VTT_50,,
35,F7,IOB_X1Y148,IO_L1P_T0_AD0P_35,46.312,46.778,,,FPGA_DIFF[1],IN,P,FPGA_DIFF_N[1],LVDS_25,,,,,,,,,,true,,,
35,D7,IOB_X1Y146,IO_L2P_T0_AD8P_35,50.899,51.411,,,FPGA_DIFF[2],IN,P,FPGA_DIFF_N[2],LVDS_25,,,,,,,,,,true,,,
35,E8,IOB_X1Y144,IO_L3P_T0_DQS_AD1P_35,71.631,72.351,,,FPGA_DIFF[3],IN,P,FPGA_DIFF_N[3],LVDS_25,,,,,,,,,,,,,
35,G6,IOB_X1Y138,IO_L6P_T0_35,48.937,49.429,,,FPGA_DIFF[4],IN,P,FPGA_DIFF_N[4],LVDS_25,,,,,,,,,,,,,
35,F5,IOB_X1Y140,IO_L5P_T0_AD9P_35,32.448,32.774,,,FPGA_DIFF[5],IN,P,FPGA_DIFF_N[5],LVDS_25,,,,,,,,,,,,,
35,G8,IOB_X1Y142,IO_L4P_T0_35,68.127,68.812,,,FPGA_DIFF[6],IN,P,FPGA_DIFF_N[6],LVDS_25,,,,,,,,,,,,,
